ATel #11572 http://www.astronomerstelegram.org/?read=11572

In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

|Date                | Freq|       I|     eI|       Q|     eQ|      U|     eU|       V|     eV|      EVPA|     eEVPA|
|UT                  | GHz |     Jy |    Jy |     Jy |    Jy |    Jy |    Jy |     Jy |    Jy |      rad |      rad | 
|:-------------------|----:|-------:|------:|-------:|------:|------:|------:|-------:|------:|---------:|---------:|
|2018-04-02 03:47:00 | 97.5| 12.8861| 0.0032| -0.2773| 0.0119| 1.1166| 0.0087| -0.0013| 0.0371| 0.9071075| 0.0051012|
|2018-04-02 03:48:18 | 97.5| 12.9311| 0.0037| -0.2656| 0.0112| 1.1644| 0.0084|  0.0027| 0.0369| 0.8975299| 0.0046379|
|2018-04-11 02:18:27 | 97.5| 12.5528| 0.0030| -0.0196| 0.0121| 0.8949| 0.0067| -0.0079| 0.0378| 0.7963474| 0.0067578|
|2018-04-11 02:19:46 | 97.5| 12.5905| 0.0027| -0.0225| 0.0123| 0.8820| 0.0064| -0.0073| 0.0371| 0.7981505| 0.0069689|
|2018-04-13 06:19:49 | 97.5| 14.2064| 0.0007|  0.2403| 0.0181| 1.4671| 0.0195| -0.0146| 0.0282| 0.7042227| 0.0061003|
|2018-04-13 06:47:48 | 97.5| 13.5579| 0.0030|  0.2058| 0.0107| 1.3922| 0.0123| -0.0180| 0.0293| 0.7120178| 0.0038146|
|2018-04-17 02:51:44 | 97.5| 13.6390| 0.0026|  0.1804| 0.0117| 1.1670| 0.0091| -0.0106| 0.0401| 0.7087129| 0.0049311|
|2018-04-17 02:53:03 | 97.5| 13.6090| 0.0027|  0.1787| 0.0106| 1.1825| 0.0085| -0.0077| 0.0398| 0.7104054| 0.0044140|
|2018-04-17 04:08:16 | 97.5| 14.6908| 0.0028|  0.2977| 0.0112| 1.4989| 0.0093| -0.0137| 0.0321| 0.6873677| 0.0036428|
|2018-04-17 04:09:35 | 97.5| 14.6751| 0.0029|  0.2887| 0.0123| 1.5049| 0.0094| -0.0146| 0.0329| 0.6906296| 0.0039837|
|2018-04-20 06:13:19 | 97.5| 14.6879| 0.0038|  0.5413| 0.0111| 1.7684| 0.0122| -0.0247| 0.0322| 0.6368782| 0.0030276|
|2018-04-23 01:05:41 | 97.5| 13.6799| 0.0028|  0.2791| 0.0147| 1.0884| 0.0064| -0.0134| 0.0418| 0.6598869| 0.0063757|
|2018-04-23 01:06:59 | 97.5| 13.6869| 0.0029|  0.2792| 0.0144| 1.0924| 0.0063| -0.0200| 0.0407| 0.6602845| 0.0062254|


|Date                | Freq|       I|     eI|       Q|     eQ|      U|     eU|       V|     eV|      EVPA|     eEVPA|
|UT                  | GHz |     Jy |    Jy |     Jy |    Jy |    Jy |    Jy |     Jy |    Jy |      rad |      rad | 
|:-------------------|----:|-------:|------:|-------:|------:|------:|------:|-------:|------:|---------:|---------:|
|2018-04-11 05:39:30 |  233|  8.1385| 0.0045| -0.1075| 0.0091| 0.7697| 0.0146|  0.0681| 0.0171| 0.8547818| 0.0059421|
|2018-04-13 07:21:23 |  233|  8.9735| 0.0032|  0.0823| 0.0171| 0.9268| 0.0178| -0.0010| 0.0217| 0.7411142| 0.0091921|
|2018-04-17 04:25:14 |  233|  8.9264| 0.0024|  0.3963| 0.0107| 1.0454| 0.0127|  0.0083| 0.0208| 0.6042227| 0.0049067|
|2018-04-19 01:48:34 |  233| 10.0689| 0.0030|  0.3126| 0.0099| 1.2557| 0.0193| -0.0045| 0.0214| 0.6634055| 0.0041260|
|2018-04-19 01:50:33 |  233|  9.9409| 0.0031|  0.3157| 0.0096| 1.2629| 0.0176| -0.0027| 0.0215| 0.6629181| 0.0039350|
|2018-04-20 05:34:37 |  233|  9.8553| 0.0040|  0.2661| 0.0101| 1.1546| 0.0161| -0.0035| 0.0185| 0.6721411| 0.0044246|
|2018-04-23 03:00:25 |  233|  9.6492| 0.0047|  0.3331| 0.0176| 1.1763| 0.0148|  0.0024| 0.0249| 0.6474224| 0.0071194|


|Date                |  Freq|      I|     eI|       Q|     eQ|      U|     eU|       V|     eV|      EVPA|     eEVPA|
|UT                  | GHz |     Jy |    Jy |     Jy |    Jy |    Jy |    Jy |     Jy |    Jy |      rad |      rad | 
|:-------------------|-----:|------:|------:|-------:|------:|------:|------:|-------:|------:|---------:|---------:|
|2018-04-01 07:35:04 | 343.5| 6.5946| 0.0036| -0.1018| 0.0148| 0.8583| 0.0138|  0.0144| 0.0166| 0.8444257| 0.0085539|
|2018-04-02 02:55:15 | 343.5| 6.4368| 0.0055| -0.0785| 0.0116| 0.7448| 0.0156|  0.0037| 0.0166| 0.8379030| 0.0077788|
|2018-04-02 02:57:46 | 343.5| 6.4116| 0.0054| -0.1128| 0.0134| 0.7387| 0.0160| -0.0055| 0.0162| 0.8611632| 0.0090094|
|2018-04-12 07:25:00 | 343.5| 6.3177| 0.0044| -0.0590| 0.0185| 0.8278| 0.0166|  0.0140| 0.0204| 0.8209746| 0.0111404|
|2018-04-17 00:56:48 | 343.5| 7.1213| 0.0040|  0.2077| 0.0142| 0.8835| 0.0170|  0.0070| 0.0173| 0.6699506| 0.0079112|
|2018-04-17 00:59:18 | 343.5| 7.0850| 0.0042|  0.1880| 0.0140| 0.8735| 0.0166|  0.0010| 0.0175| 0.6794020| 0.0079044|
|2018-04-20 06:44:18 | 343.5| 8.3001| 0.0046|  0.2716| 0.0150| 1.0877| 0.0127|  0.0182| 0.0145| 0.6630495| 0.0066341|
