In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

J1256-0547 (3C 279)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-04 02:04 |  97.5 | 12.75 (0.12) |  -0.04 (0.03) |   0.53 (0.21) |   4.18 (0.75) |  46.93 ( 1.97) |
|2020-03-04 02:05 |  97.5 | 12.73 (0.11) |  -0.04 (0.04) |   0.55 (0.22) |   4.37 (0.77) |  46.88 ( 1.95) |
|2020-03-04 06:38 |  97.5 | 12.86 (0.07) |  -0.09 (0.05) |   0.54 (0.03) |   4.22 (0.44) |  49.67 ( 2.38) |
|2020-03-15 02:52 |  97.5 | 14.19 (0.19) |  -0.09 (0.28) |   0.72 (0.09) |   5.12 (1.16) |  48.57 (11.09) |
|2020-03-15 02:53 |  97.5 | 14.19 (0.17) |  -0.08 (0.29) |   0.73 (0.09) |   5.15 (1.19) |  48.32 (11.21) |
|2020-03-15 23:33 |  97.5 | 13.93 (0.16) |   0.08 (0.08) |   0.67 (0.24) |   4.83 (1.07) |  41.55 ( 3.62) |
|2020-03-16 00:29 |  97.5 | 14.01 (0.28) |   0.06 (0.06) |   0.72 (0.35) |   5.19 (1.08) |  42.80 ( 2.47) |
|2020-03-16 00:30 |  97.5 | 14.03 (0.26) |   0.06 (0.06) |   0.72 (0.43) |   5.12 (1.20) |  42.70 ( 2.71) |
|2020-03-16 02:30 |  97.5 | 14.20 (0.20) |   0.00 (0.38) |   0.69 (0.06) |   4.88 (1.15) |  44.88 (15.51) |
|2020-03-16 02:31 |  97.5 | 14.15 (0.21) |  -0.05 (0.43) |   0.69 (0.05) |   4.88 (1.15) |  47.21 (17.81) |
|2020-03-16 06:54 |  97.5 | 14.98 (0.11) |   0.10 (0.06) |   0.88 (0.04) |   5.88 (0.46) |  41.68 ( 2.08) |
|2020-03-17 00:09 |  97.5 | 14.04 (0.25) |   0.06 (0.07) |   0.66 (0.27) |   4.73 (1.07) |  42.26 ( 3.28) |
|2020-03-17 00:10 |  97.5 | 14.01 (0.24) |   0.07 (0.07) |   0.61 (0.33) |   4.40 (1.16) |  41.71 ( 3.77) |
|2020-03-17 01:42 |  97.5 | 13.73 (0.25) |  -0.03 (0.19) |   0.59 (0.35) |   4.31 (1.85) |  46.64 ( 9.12) |
|2020-03-17 01:43 |  97.5 | 13.73 (0.23) |  -0.05 (0.21) |   0.61 (0.36) |   4.48 (1.97) |  47.30 ( 9.64) |
|2020-03-17 02:59 |  97.5 | 14.39 (0.21) |  -0.16 (0.25) |   0.87 (0.21) |   6.17 (1.65) |  50.20 ( 8.03) |
|2020-03-17 03:01 |  97.5 | 14.38 (0.21) |  -0.15 (0.23) |   0.91 (0.22) |   6.43 (1.62) |  49.64 ( 7.08) |
|2020-03-17 03:11 |  97.5 | 13.94 (0.19) |  -0.07 (0.16) |   0.84 (0.28) |   6.05 (1.57) |  47.26 ( 5.49) |
|2020-03-17 03:13 |  97.5 | 13.95 (0.18) |  -0.05 (0.15) |   0.86 (0.25) |   6.17 (1.45) |  46.53 ( 4.97) |
|2020-03-17 04:42 |  97.5 | 14.06 (0.26) |   0.13 (0.22) |   0.95 (0.27) |   6.84 (1.81) |  41.02 ( 6.64) |
|2020-03-19 05:55 |  97.5 | 13.70 (0.12) |  -0.03 (0.03) |   0.65 (0.04) |   4.73 (0.42) |  46.25 ( 1.53) |
|2021-01-21 02:50 |  97.5 | 13.83 (0.23) |  -0.56 (0.04) |  -0.44 (0.16) |   5.13 (0.69) | -70.72 ( 5.02) |
|2021-01-21 03:27 |  97.5 | 13.73 (0.20) |  -0.54 (0.04) |  -0.49 (0.21) |   5.32 (0.73) | -68.72 ( 6.08) |
|2021-01-28 08:30 |  97.5 | 14.18 (0.07) |  -0.61 (0.03) |  -0.11 (0.02) |   4.34 (0.36) | -84.81 ( 1.07) |
|2021-02-06 02:22 |  97.5 | 14.34 (0.10) |  -0.79 (0.02) |  -0.78 (0.02) |   7.76 (0.34) | -67.66 ( 0.46) |
|2021-02-06 02:22 |  97.5 | 14.28 (0.09) |  -0.79 (0.02) |  -0.78 (0.01) |   7.79 (0.33) | -67.70 ( 0.39) |
|2021-02-06 03:16 |  97.5 | 14.29 (0.07) |  -0.79 (0.01) |  -0.79 (0.01) |   7.82 (0.32) | -67.44 ( 0.33) |
|2021-02-06 03:41 |  97.5 | 14.28 (0.07) |  -0.79 (0.02) |  -0.76 (0.02) |   7.68 (0.34) | -68.06 ( 0.53) |
|2021-02-06 04:11 |  97.5 | 14.28 (0.08) |  -0.79 (0.01) |  -0.78 (0.02) |   7.81 (0.34) | -67.68 ( 0.49) |
|2021-02-06 04:32 |  97.5 | 14.21 (0.07) |  -0.77 (0.02) |  -0.76 (0.00) |   7.63 (0.31) | -67.58 ( 0.32) |
|2021-02-06 04:46 |  97.5 | 14.61 (0.07) |  -0.80 (0.01) |  -0.80 (0.01) |   7.71 (0.33) | -67.45 ( 0.37) |
|2021-02-06 05:00 |  97.5 | 14.60 (0.08) |  -0.94 (0.01) |  -0.84 (0.01) |   8.68 (0.32) | -69.10 ( 0.28) |
